Zip Code Tabulation Area,State,FIPS Code,Formatted FIPS,"Estimated median income of a household, between 2014-2018."
99501,AK,99501,99501,57920
99502,AK,99502,99502,84080
99503,AK,99503,99503,51604
99504,AK,99504,99504,78508
99505,AK,99505,99505,63125
99506,AK,99506,99506,56869
99507,AK,99507,99507,85686
99508,AK,99508,99508,66723
99510,AK,99510,99510,N/A
99513,AK,99513,99513,N/A
99515,AK,99515,99515,104677
99516,AK,99516,99516,155637
99517,AK,99517,99517,77274
99518,AK,99518,99518,84773
99519,AK,99519,99519,N/A
99540,AK,99540,99540,103750
99546,AK,99546,99546,71667
99547,AK,99547,99547,51875
99548,AK,99548,99548,32083
99549,AK,99549,99549,51250
99550,AK,99550,99550,42917
99551,AK,99551,99551,38438
99552,AK,99552,99552,47917
99553,AK,99553,99553,31250
99554,AK,99554,99554,36250
99555,AK,99555,99555,53750
99556,AK,99556,99556,54694
99557,AK,99557,99557,48958
99558,AK,99558,99558,43125
99559,AK,99559,99559,82417
99561,AK,99561,99561,53750
99563,AK,99563,99563,38250
99564,AK,99564,99564,44750
99565,AK,99565,99565,71250
99566,AK,99566,99566,16400
99567,AK,99567,99567,111161
99568,AK,99568,99568,42604
99569,AK,99569,99569,18750
99571,AK,99571,99571,79375
99572,AK,99572,99572,82734
99573,AK,99573,99573,47000
99574,AK,99574,99574,85833
99575,AK,99575,99575,35625
99576,AK,99576,99576,73500
99577,AK,99577,99577,109936
99578,AK,99578,99578,38750
99579,AK,99579,99579,41250
99580,AK,99580,99580,31875
99581,AK,99581,99581,40938
99583,AK,99583,99583,N/A
99585,AK,99585,99585,29643
99586,AK,99586,99586,25781
99587,AK,99587,99587,105433
99588,AK,99588,99588,64821
99589,AK,99589,99589,35000
99590,AK,99590,99590,28125
99591,AK,99591,99591,56875
99602,AK,99602,99602,34375
99603,AK,99603,99603,63705
99604,AK,99604,99604,31528
99605,AK,99605,99605,N/A
99606,AK,99606,99606,40938
99607,AK,99607,99607,33125
99609,AK,99609,99609,44583
99610,AK,99610,99610,64643
99611,AK,99611,99611,61401
99612,AK,99612,99612,75000
99613,AK,99613,99613,95500
99614,AK,99614,99614,36250
99615,AK,99615,99615,81633
99620,AK,99620,99620,38750
99621,AK,99621,99621,42917
99622,AK,99622,99622,51875
99624,AK,99624,99624,N/A
99625,AK,99625,99625,23958
99626,AK,99626,99626,32813
99627,AK,99627,99627,49250
99628,AK,99628,99628,39773
99630,AK,99630,99630,30000
99631,AK,99631,99631,75469
99632,AK,99632,99632,33542
99633,AK,99633,99633,74167
99634,AK,99634,99634,26607
99636,AK,99636,99636,38929
99637,AK,99637,99637,45893
99638,AK,99638,99638,36250
99639,AK,99639,99639,52188
99640,AK,99640,99640,37917
99641,AK,99641,99641,36786
99643,AK,99643,99643,31563
99644,AK,99644,99644,37917
99645,AK,99645,99645,80963
99647,AK,99647,99647,N/A
99648,AK,99648,99648,33750
99649,AK,99649,99649,46250
99650,AK,99650,99650,29688
99651,AK,99651,99651,N/A
99652,AK,99652,99652,56613
99653,AK,99653,99653,86250
99654,AK,99654,99654,80471
99655,AK,99655,99655,33194
99656,AK,99656,99656,N/A
