"","review_count","rating","price","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","id","distance","state","longitude","latitude"
"quUUu1yRifqULPrPYBXLGQ",-0.0175857353080797,1.16157386545952,1,0.02,-0.005,0,0,0.015,"quUUu1yRifqULPrPYBXLGQ",5453.56477881307,"FL",-85.5137278139591,30.9658509492874
"N_3qIPXDbknLc4N9indneA",0.983769637170905,0.661998441330572,1,0.02,-0.005,0,0,0.015,"N_3qIPXDbknLc4N9indneA",5926.67765239885,"FL",-85.516731262207,30.9553775787354
"WxNTSQGkicRcwkS5k4YQkQ",-2.01577940222104,0.662134403747469,1.11022302462516e-16,0.02,-0.005,0,0,0.015,"WxNTSQGkicRcwkS5k4YQkQ",6307.18308002695,"FL",-85.5163879,30.9513893
"6hnIO79V8m3BRtKe5cE4KQ",-1.01626147659679,0.661984009129221,1,0.02,-0.005,0,0,0.015,"6hnIO79V8m3BRtKe5cE4KQ",6034.58982746949,"FL",-85.5152282714844,30.9553985595703
"nBmt0GKgL_abOiNrv7TlVw",-4.01772160400851,0.161527142657909,1.11022302462516e-16,0.02,-0.005,0,0,0.015,"nBmt0GKgL_abOiNrv7TlVw",5355.14966647592,"FL",-85.5123519897461,30.9667587280273
"-sS5RWweD1EXNXwYl84OGg",-5.01716860277247,-1.83827185937947,2,0.02,-0.005,0,0,0.015,"-sS5RWweD1EXNXwYl84OGg",4980.85688549577,"FL",-85.5210571,30.9636497
"3ZOzAUWXp1l0bo4IPqAF8Q",-5.50332341180626,0.5,-0.350332341180626,-0.02,0.01,0.03,0,0.02,"3ZOzAUWXp1l0bo4IPqAF8Q",16213.7048797398,"AL",-86.0389862218875,31.1132408521595
"L4JVlzN9klCHxftajT3_iQ",12,-1,-1,-0.02,0.015,0.035,0,0.03,"L4JVlzN9klCHxftajT3_iQ",6107.26658941498,"AL",-86.3260482767488,31.0045133336413
"Pua7fOv9JkpxaZq-AbuEZQ",0,-1,-1,-0.02,0.015,0.035,0,0.03,"Pua7fOv9JkpxaZq-AbuEZQ",5837.27526029374,"AL",-86.32928,31.00619
"dnGiM8aWvV9HF0DfAnwUbQ",-2,-1.5,0,-0.02,0.015,0.035,0,0.03,"dnGiM8aWvV9HF0DfAnwUbQ",6016.81804500487,"AL",-86.326758,31.003288
"qE6ZN3oO31IDpJGZZRtT3Q",10,-3.5,-1,-0.02,0.015,0.035,0,0.03,"qE6ZN3oO31IDpJGZZRtT3Q",6525.61494751998,"AL",-86.3215488455078,31.0043260025578
"Selw4QPamxlVxPZF69UA0w",-5,-4,-1,-0.02,0.015,0.035,0,0.03,"Selw4QPamxlVxPZF69UA0w",5969.09500327367,"AL",-86.3276736438274,31.0051574085133
"qoyNOaP3hs-AjLr2nvbLyw",3.45235973006351,1.39366458388496,0.850021747004568,0.03,0.00121589728163993,0,-0.00401377204635991,0.02720212523528,"qoyNOaP3hs-AjLr2nvbLyw",15101.4502297491,"TN",-85.6842058873634,35.0403682403595
"okPdDomJaqThaJ9EEr5REg",17.4544345210124,0.393968799515224,0.849995955011961,0.03,0.00121769380739075,0,-0.00401830771300308,0.0271993860943877,"okPdDomJaqThaJ9EEr5REg",15252.8241454153,"TN",-85.6847441196442,35.0417019762976
"DRR53lnW3eLyjgO2yRVpTw",19.4551482488937,-0.106244900959856,0.850022796331803,0.03,0.00121851554662955,0,-0.00401592506284945,0.0272025904837801,"DRR53lnW3eLyjgO2yRVpTw",15007.8995199783,"TN",-85.684208,35.039233
"II3wRsbYBw_hMK6bWAQU4A",-9.53092559246528,1.89505610481004,-0.150066821041226,0.03,0.00123103589238135,0,-0.00403716427100092,0.0271938716213804,"II3wRsbYBw_hMK6bWAQU4A",15279.4951736196,"TN",-85.6861223,35.041262
"LQI59SCUnuaTrLWrhmhWAg",-9.5374538111763,1.89479405265008,-0.150064284909405,0.03,0.00122494584609338,0,-0.00403153096033956,0.0271934148857538,"LQI59SCUnuaTrLWrhmhWAg",15493.8158127322,"TN",-85.6860513,35.0435898
"So2YOfbQZhWz10VJHJPZwg",-7.54614433433688,0.893927844995374,-0.150001788524734,0.03,0.00121716497331394,0,-0.00401758728684695,0.027199577686467,"So2YOfbQZhWz10VJHJPZwg",15253.7354230424,"TN",-85.6846939868643,35.0417378035879
"6RtnIAcv8kvJGLZSC4h92Q",-3.54119028032644,-0.105729668715528,-0.15002018072723,0.03,0.00122169617612063,0,-0.00402365323998402,0.0271980429361366,"6RtnIAcv8kvJGLZSC4h92Q",15237.8960540559,"TN",-85.685103,35.041355
"W59Fr2u37tn6-VokzDi0JQ",-2.53199791376353,-0.605121544794929,-0.15005113726905,0.03,0.0012301236032656,0,-0.00403456987441467,0.0271955537288509,"W59Fr2u37tn6-VokzDi0JQ",15181.4344073228,"TN",-85.6857888400555,35.0403876497465
"kvqpgnwkKkpusLjZemXXdA",-5.5129907652776,-0.603413893077934,-0.150166175760235,0.03,0.00124724291076604,0,-0.00406270706026845,0.0271845358504976,"kvqpgnwkKkpusLjZemXXdA",15525.0133247316,"TN",-85.6882935,35.0425415
"c4U9YRdjSgjYbZ3Kfw0DRg",-6.43866244932848,-1.35285451885262,-0.134169434619438,0.03,-0.00132974041357317,0,0,0.0286702595864268,"c4U9YRdjSgjYbZ3Kfw0DRg",12291.6082279634,"TN",-85.58299,35.03631
"QlW-bwn5lqvZIVV3pKqkIA",-9.54899567063694,0.893570087827522,-0.149973124896799,0.03,0.0012146575759905,0,-0.00401210169080162,0.0272025558851889,"QlW-bwn5lqvZIVV3pKqkIA",15104.7116226963,"TN",-85.6840921398812,35.0404626
"tFZ8mhr-MEd76ybrFEoDyQ",-9.55836915520387,0.392950217783824,-0.149941365097312,0.03,0.00120606473546602,0,-0.00400096748227659,0.0272050972531894,"tFZ8mhr-MEd76ybrFEoDyQ",15159.9302988514,"TN",-85.6833735022582,35.041423182483
"6OIx2bew7j5ogdV98VSmrg",-5.53057654516033,-0.605054664406783,-0.150052854589488,0.03,0.00123144530388885,0,-0.00403592264319027,0.0271955226606986,"6OIx2bew7j5ogdV98VSmrg",15143.9424459041,"TN",-85.68583,35.03999
"AM0QOXmg89jcQnQB9jZJoA",1.46401091618195,-1.6051638597769,-0.150062920990061,0.03,0.00122632168422928,0,-0.00403258455952011,0.0271937371247092,"AM0QOXmg89jcQnQB9jZJoA",15427.7566401919,"TN",-85.686025545001,35.0428988
"gckK9_9MRZnh6gnN2A75MQ",-8.52450827497554,-0.604304853520003,-0.15011284862844,0.03,0.00123677595205465,0,-0.00404744328439057,0.0271893326676641,"gckK9_9MRZnh6gnN2A75MQ",15453.2498338268,"TN",-85.6871251,35.042592
"hz3dpf97Z9pmiJuKOslgTw",-34.9510551511744,-2.23248012124224,-0.26723109019076,0,0.02,0,0,0.02,"hz3dpf97Z9pmiJuKOslgTw",12357.0516577572,"GA",-85.5327301,34.7658043
"5mwnNd0h3DgqoeniZyWF8w",24.5037848627992,0.750326687041012,-0.166867349638953,0,-0.005,0,0,-0.005,"5mwnNd0h3DgqoeniZyWF8w",128106.419366812,"GA",-84.16493,33.99764
"aChdJgCd6V1vEkWHclXS7g",0.894441781634166,1.93600631967136,-0.377358620078071,0,0.00892309680400718,-0.0130769893466906,0,-0.00415389254268342,"aChdJgCd6V1vEkWHclXS7g",23157.4707738314,"GA",-85.1098727010603,33.0343228665985
"JzHj5HneHmK2jkl5LSOMAA",26.5277015506909,0.989242884560871,-0.298019538002647,0,0.00947029307003971,-0.0149009769001324,0,-0.00543068383009265,"JzHj5HneHmK2jkl5LSOMAA",13539.6215135506,"GA",-85.0796270370483,33.022805762977
"AN8EuLVajUJf2Sf-6n7BcA",20.5288742615709,0.489698643494004,0.702301224509026,-6.93889390390723e-18,0.00946548163236461,-0.0148849387745487,0,-0.0054194571421841,"AN8EuLVajUJf2Sf-6n7BcA",13525.922360624,"GA",-85.0796738,33.0230713
"6KHpR408-5q4zIGTIyiydA",4.50856521441371,1.27343103620171,0.758495266647917,NA,NA,NA,NA,NA,"6KHpR408-5q4zIGTIyiydA",19632.6607838406,"GA",-85.17646,32.87779
"Gmjmi6Y4-XuEXZ0Pa9Mfjw",-1.46373044294933,0.492534172834355,-0.295676086600902,0,0.00943514129901353,-0.0147838043300451,0,-0.00534866303103157,"Gmjmi6Y4-XuEXZ0Pa9Mfjw",13632.8328555997,"GA",-85.0782752037048,33.024029160502
"e1nggQiwBFZf6P3DkTt3Vg",-4.47112573842913,0.989698643494004,-0.297698775490974,-6.93889390390723e-18,0.00946548163236461,-0.0148849387745487,0,-0.0054194571421841,"e1nggQiwBFZf6P3DkTt3Vg",13525.922360624,"GA",-85.0796738,33.0230713
"zRDgVHS2sjwkUCNbDxUKOg",-5.46106940644276,0.993548552112518,-0.294948331692064,6.93889390390723e-18,0.00942422497538095,-0.0147474165846032,0,-0.00532319160922223,"zRDgVHS2sjwkUCNbDxUKOg",13696.5282318456,"GA",-85.0775134563446,33.0242720388715
"lEcO1xkNAs6RZ2SexIvrEA",26.584097478821,1.17678838822288,0.732987531704612,NA,NA,NA,NA,NA,"lEcO1xkNAs6RZ2SexIvrEA",3270.10780000948,"GA",-85.1839244515552,32.8764516105107
"LRNmm0ZllQ1fosayvGe2eg",7.56387366999141,1.18688484871522,-0.264781177878651,NA,NA,NA,NA,NA,"LRNmm0ZllQ1fosayvGe2eg",3240.26801512935,"GA",-85.1834781303983,32.8768590423215
"d_nS-KGqsMPzu1eZZHqCuQ",15.5678013072175,0.683322994069926,0.734760740865489,NA,NA,NA,NA,NA,"d_nS-KGqsMPzu1eZZHqCuQ",3221.14129712406,"GA",-85.1839562505484,32.87690602907
"kyYQwof6OMSb72_ZWjqRRA",2.57856491344926,1.17719136315388,-0.266386183124295,NA,NA,NA,NA,NA,"kyYQwof6OMSb72_ZWjqRRA",3226.21687333234,"GA",-85.184388,32.876742
"M8-tfV2NdJmsVFB8b14olw",-0.412549611043362,1.17316121667661,0.732728691098462,NA,NA,NA,NA,NA,"M8-tfV2NdJmsVFB8b14olw",3243.26970383569,"GA",-85.184505,32.876551
"TT4C0_O6vaBbQ4zzOb6ajQ",3.29464623391949,-0.118061206737114,-0.20508642789382,NA,NA,NA,NA,NA,"TT4C0_O6vaBbQ4zzOb6ajQ",5151.97301298854,"GA",-85.1502914428711,32.8766822814941
"g74isAiLfDAaNyHIQgsLKw",1.48574611954184,-1.24956434678019,-0.249669244885359,NA,NA,NA,NA,NA,"g74isAiLfDAaNyHIQgsLKw",3442.4345632644,"GA",-85.17738,32.87715
"-52vSUgsVr3GfZ3PPHuBig",-2.47167867528081,-0.336644184868241,-0.2588975519727,NA,NA,NA,NA,NA,"-52vSUgsVr3GfZ3PPHuBig",3512.62362239641,"GA",-85.17829,32.87603
"KZTyGUIe95IVNTjxfKusqA",-5.97346072517489,-1.70690836001666,-0.21373671211893,NA,NA,NA,NA,NA,"KZTyGUIe95IVNTjxfKusqA",5312.78189907401,"GA",-85.1476288,32.8762169
"ungPmNQRVaYzB7a776JsNA",-3.84184341747478,-1.09210833934811,-0.372384195540389,NA,NA,NA,NA,NA,"ungPmNQRVaYzB7a776JsNA",9438.13017413878,"MI",-85.191251,42.261637
"qdBj7gFPZhAtyZK27XZeIg",279.794781752059,0.235355255097129,0.625462971007837,6.93889390390723e-18,0.0192767757978151,-0.0439151636967227,0.01,-0.0146383878989075,"qdBj7gFPZhAtyZK27XZeIg",5254.43427384063,"GA",-84.995275,32.466508
"vVFldydkompD7sQqQJfZFg",202.283711870679,0.253143952334732,-0.40681780216533,-6.93889390390723e-18,0.0192193379154489,-0.0438290068731733,0.01,-0.0146096689577244,"vVFldydkompD7sQqQJfZFg",5031.52598369556,"GA",-84.9916082,32.4690697
"BFsM7cOnpzJy-P82VCo0YQ",331.688542321116,-0.24875987685011,0.600729097001444,6.93889390390723e-18,0.0191863002176649,-0.0437794503264973,0.01,-0.0145931501088324,"BFsM7cOnpzJy-P82VCo0YQ",5060.79967042181,"GA",-84.9908559,32.468938
"DBuwVrRbYMRfUJIFsKA5lg",54.6006570835956,0.253064909099248,1.58144546489953,0,0.0193295458180693,-0.043994318727104,0.01,-0.0146647729090346,"DBuwVrRbYMRfUJIFsKA5lg",4982.930395583,"GA",-84.99474,32.46863
"0nCSakNp6IKeo90jZhu8JQ",110.994194990944,0.153514647444339,0.692970705111321,0,0.02,-0.045,0.01,-0.015,"0nCSakNp6IKeo90jZhu8JQ",4967.41042668507,"GA",-84.95567,32.53392
"J22V4NdmhiCiWDcZxJYXjQ",36.0407224680167,0.16891909547992,-0.33783819095984,0,0.02,-0.045,0.01,-0.015,"J22V4NdmhiCiWDcZxJYXjQ",3453.68569767768,"GA",-84.9668198,32.5061913
"-73KW-ZU8xPGrofMtDr0Dw",99.9342505354554,0.240357013133536,1.62583603888681,0,0.0191782058670106,-0.0437673088005158,0.01,-0.0145891029335053,"-73KW-ZU8xPGrofMtDr0Dw",5273.97724221868,"GA",-84.9921560083531,32.4667538538286
"ExhWWL5Qec7Po6f6_FT7Aw",288.588326313699,-0.339591833773389,1.67918366754678,0,0.02,-0.045,0.01,-0.015,"ExhWWL5Qec7Po6f6_FT7Aw",4644.77722125089,"GA",-84.95293,32.51346
"0Kgc59z8_Bt-edO9V6-MoA",72.3301305005741,0.23665574703496,0.633960315890629,6.93889390390723e-18,0.0191795451013602,-0.0437693176520403,0.01,-0.0145897725506801,"0Kgc59z8_Bt-edO9V6-MoA",5334.04826339538,"GA",-84.99275,32.46611
"wNn5fQ3p4n2bRQa6bQd9GA",69.612955581554,0.220872840173249,-0.305583104731112,0,0.0189781902668334,-0.04346728540025,0.01,-0.0144890951334167,"wNn5fQ3p4n2bRQa6bQd9GA",5915.1231672575,"GA",-84.991452,32.461
"4e8h60mVSeQKGrqgFmwyaw",79.1953744755697,-0.241706530658163,0.572720270565117,-6.93889390390723e-18,0.0193078627798228,-0.0439617941697343,0.01,-0.0146539313899114,"4e8h60mVSeQKGrqgFmwyaw",4966.60560178131,"GA",-84.9936344577951,32.4693370560591
"Okge_00wEAUIUAT06aV4xg",12.7300191706519,0.219889909293665,0.71206238925352,6.93889390390723e-18,0.0188512222352349,-0.0432768333528523,0.01,-0.0144256111176174,"Okge_00wEAUIUAT06aV4xg",6188.68966944233,"GA",-84.9893341064453,32.4587898254395
"_oqO-7Vps3S4P8BiYp02Rw",-18.8080779853906,0.165917299848213,-0.331834599696428,-6.93889390390723e-18,0.02,-0.045,0.01,-0.015,"_oqO-7Vps3S4P8BiYp02Rw",1752.45529886137,"GA",-84.984008,32.514573
"KA6KMVw5TxWYG_hAIsoApQ",120.359334502999,-0.267760303581593,0.730962303191295,0,0.0180781536387023,-0.0421172304580534,0.01,-0.0140390768193511,"KA6KMVw5TxWYG_hAIsoApQ",6340.72463561423,"GA",-84.95575,32.47217
"mpemORd60WMIuba7wvjo-Q",6.83136236598806,0.23559108229377,0.690549163876341,0,0.0185530890375667,-0.0428296335563501,0.01,-0.0142765445187834,"mpemORd60WMIuba7wvjo-Q",5522.03856699406,"GA",-84.9726371,32.4706605
"ac54w1G7LqaJwg58NjA9cw",43.0937577986194,-0.239920308572152,0.570388390187113,-6.93889390390723e-18,0.0192938495102607,-0.0439407742653911,0.01,-0.0146469247551304,"ac54w1G7LqaJwg58NjA9cw",4869.86702980874,"GA",-84.9930515729762,32.4697008155032
"qjNr5hmTmdnLRH9cjHU5_w",27.6510207795733,-0.340989219066882,0.681978438133764,0,0.02,-0.045,0.01,-0.015,"qjNr5hmTmdnLRH9cjHU5_w",3753.97031507335,"GA",-84.96414,32.52256
"GR7HyCTAo5dx7W3uGPeycg",109.615323571092,-0.840150481580507,-0.319699036838986,0,0.02,-0.045,0.01,-0.015,"GR7HyCTAo5dx7W3uGPeycg",4408.5951161595,"GA",-84.955811,32.516885
"ZXOpMxN2yWobXyzlLLl5nQ",48.8837728762243,-0.264518593235007,0.691416763901386,0,0.0185449183950294,-0.0428173775925442,0.01,-0.0142724591975147,"ZXOpMxN2yWobXyzlLLl5nQ",5529.16184090549,"GA",-84.972374,32.470681
"TUi3H1tVC1m4_zFEwEVASQ",1.7342963089896,-0.342194543664472,-0.315610912671057,6.93889390390723e-18,0.02,-0.045,0.01,-0.015,"TUi3H1tVC1m4_zFEwEVASQ",4357.87109731515,"GA",-84.957665,32.522877
"Xs2f542pJyhZd1k9Om-D4Q",92.9697752618506,-0.315537361117711,0.63107472223542,0,0.02,-0.045,0.01,-0.015,"Xs2f542pJyhZd1k9Om-D4Q",5586.73653612157,"GA",-84.9517599,32.53911
"HwpckONCcdLScXNxFD0qGA",15.6234135103713,-0.248514111581748,2.59953900067731,0,0.0191927294287257,-0.0437890941430886,0.01,-0.0145963647143628,"HwpckONCcdLScXNxFD0qGA",5057.5007528204,"GA",-84.991018,32.468938
"HjBum82KSGq1JSRMcjO1_g",10.6827532091407,0.233217366177592,-0.358719947165408,0,0.0191827904057161,-0.0437741856085741,0.01,-0.014591395202858,"HjBum82KSGq1JSRMcjO1_g",5384.12685793157,"GA",-84.9933603,32.4655684
"dQhnN-WNvnXPJD43IRR5KQ",10.676035527417,-0.249479680474713,0.600781296979816,6.93889390390723e-18,0.0192016053569742,-0.0438024080354612,0.01,-0.0146008026784871,"dQhnN-WNvnXPJD43IRR5KQ",5079.6753584879,"GA",-84.9914088292869,32.4686626412999
"0pTi536IkX2Xa8SqKkAzNw",245.011579607976,-0.762964633666567,0.628492358804516,0,0.0192202095523337,-0.0438303143285005,0.01,-0.0146101047761668,"0pTi536IkX2Xa8SqKkAzNw",5296.71856892242,"GA",-84.99372,32.46636
"0jDJDAIjHLFS4cvtwZAyGA",69.0561246271124,-0.261667103228348,-0.37129573686305,-6.93889390390723e-18,0.0191930925576326,-0.0437896388364489,0.01,-0.0145965462788163,"0jDJDAIjHLFS4cvtwZAyGA",5296.46545686274,"GA",-84.9928494241295,32.4664412733225
