"","review_count","rating","price","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","id","distance","state","longitude","latitude"
"4BetfPpFR5vFlycKve8NMQ",9,2.5,1,0.02275,0.01,-0.02,0,0.01275,"4BetfPpFR5vFlycKve8NMQ",1303.3809347074,"AR",-91.5288142,36.487983
"n7eOInuoWCvJiNjjuOArgg",2,1.5,1,0.02275,0.01,-0.02,0,0.01275,"n7eOInuoWCvJiNjjuOArgg",1494.39936782756,"AR",-91.536281,36.499242
"mvFi5wVl8jB4FrkfWeGvww",2,1.5,0,0.02275,0.01,-0.02,0,0.01275,"mvFi5wVl8jB4FrkfWeGvww",1314.00320734848,"AR",-91.528657,36.488381
"Kozcqc-OSsXqQGP0gcOyYg",-1,1.5,0,0.02275,0.01,-0.02,0,0.01275,"Kozcqc-OSsXqQGP0gcOyYg",1294.15445518533,"AR",-91.5318978,36.4907335
"T_XquRHCTxEqRW3C2z0M7Q",-15.9268535090468,-0.21155267252657,0.428181893303524,0.0025,0.0075,0.01,0,0.02,"T_XquRHCTxEqRW3C2z0M7Q",312.66801825287,"AR",-94.0425410275123,33.4630402255347
"4cg4ztrwJOZNu39vNfT22Q",-42.7077272291508,0.711445247629798,0.401037816793931,0.0025,0.0075,0.01,0,0.02,"4cg4ztrwJOZNu39vNfT22Q",1397.37546837928,"AR",-94.029968,33.462891
"DBhoYNcWCTefe0XSiEOipw",1.67064109214135,0.924065984184375,-0.675536074950414,0.0025,0.0075,0.01,0,0.02,"DBhoYNcWCTefe0XSiEOipw",563.116737935648,"AR",-94.04228,33.46563
"z7979X5NDKLc5joH2_KGtw",10.3340271783381,-0.446316483325916,0.372127206242619,0.0025,0.0075,0.01,0,0.02,"z7979X5NDKLc5joH2_KGtw",653.55845095484,"AR",-94.042843,33.455188
"MbK2EHcI1jsm-Qn5YiKKwQ",187.723503344407,-7.05242600123057e-05,1,0.004,0.0025,0,0.015,0.0215,"MbK2EHcI1jsm-Qn5YiKKwQ",1536.25564989026,"CA",-114.62321,34.85004
"lzMFs9bq0viBl59JH7eZOA",296.722599517652,-0.500077310438598,1,0.004,0.0025,0,0.015,0.0215,"lzMFs9bq0viBl59JH7eZOA",1468.38458631056,"CA",-114.6231017,34.8510507
